# Directed graph (each unordered pair of nodes is saved once): web-Google.txt
# Webgraph from the Google programming contest, 2002
# Nodes: 43 Edges: 5105039
# FromNodeId	ToNodeId
0	3
0	2
0	4
0	5
3	0
3	7
3	8
3	9
3	10
3	11
3	13
3	14
3	15
3	16
3	17
3	18
3	4
3	5
2	0
2	19
2	10
2	11
2	12
2	20
2	21
2	22
2	23
2	4
2	5
4	0
4	3
4	24
4	25
4	21
4	26
4	17
4	5
5	0
5	3
5	27
5	28
5	29
5	12
5	4
1	30
1	6
1	31
1	32
1	33
1	34
1	35
1	36
1	37
1	38
6	1
6	30
6	39
6	40
6	41
6	31
6	42
6	32
6	33
6	34
6	35
6	36
